index,name,categories,postalCode,city,address,latitude,longitude,dateUpdated,websites
0,SONIC Drive In,American Restaurant and Fast Food Restaurant,70301,Thibodaux,800 N Canal Blvd,29.814.697,-90.814.742,2018-06-26T03:00:14Z,https://locations.sonicdrivein.com/la/thibodaux/800-north-canal-boulevard.html and http://sonicdrivein.com and http://www.sonicdrivein.com
1,SONIC Drive In,Fast Food Restaurants,70301,Thibodaux,800 N Canal Blvd,29.814.697,-90.814.742,2018-06-26T03:00:14Z,https://locations.sonicdrivein.com/la/thibodaux/800-north-canal-boulevard.html and http://sonicdrivein.com and http://www.sonicdrivein.com
2,Taco Bell,Fast Food Restaurant,37863,Pigeon Forge,206 Wears Valley Rd,35.803.788,-83.580.553,2018-06-26T02:59:52Z,http://www.tacobell.com and https://locations.tacobell.com/tn/pigeon-forge/206-wears-valley-road.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=026432andutm_content=website
3,Arby's,Fast Food,37863,Pigeon Forge,3652 Parkway,35.782.339,-83.551.408,2018-06-26T02:59:51Z,http://www.arbys.com and https://locations.arbys.com/us/tn/pigeon-forge/3652-parkway.html
4,Steak 'n Shake,Fast Food Restaurant,30260,Morrow,2118 Mt Zion Parkway,33.562.738,-84.321.143,2018-06-26T02:59:43Z,http://www.steaknshake.com/locations/23851-steak-n-shake-mt-zion-parkway-morrow
5,Wendy's,Fast Food Restaurant,48204,Detroit,9768 Grand River Ave,42.368.823,-83.138.251,2018-06-26T02:59:43Z,http://www.wendys.com
6,Burger King,Fast Food Restaurant,48235,Detroit,13600 W McNichols Rd,42.416.819,-83.180.444,2018-06-26T02:59:43Z,http://bk.com and http://www.bk.com
7,Chipotle Mexican Grill,Fast Food,92056,Oceanside,4111 Oceanside Blvd,33.205.722,-117.288.645,2018-06-26T02:59:41Z,http://www.chipotle.com and http://www.lasalsa.com
8,7-Eleven,Fast Food Restaurants,11901,Riverhead,162 Old Country Rd,40.937.359,-72.650.142,2018-06-26T02:59:32Z,http://www.7-eleven.com/?yext=39326 and http://www.7-eleven.com
9,Dairy Queen,Fast Food Restaurant,79756,Monahans,1407 S Stockton Ave,31.580.721,-102.891.455,2018-06-25T12:05:40Z,http://www.dairyqueen.com and http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJqRG97esP_MxDChA8jm1fugloTMDPF7zOe73z7Rzg5g9Epb5tslb4Ce2O9bVs-3osjI7W1LXK0P8-ceZJLb_Zm0NuJ46OZRPXqASUtjZowHbqYHz_KHREl3SRL-RlGbE5woot3O2zSqAWVHg-OlWhMHHJ9TR1jaOXMbzQAnUcZehcpq17Fx8TdD5LnknOH2OhntcYkp-Hmhc2uj_O6yVorIqEVf5Z62kWufiQ_mpIyS3EC2lcbYW-Qo4k6KLlDUXBhz61tD0Ed-XxpaLD24rGhItu5TjcLVVa3Tx4vbMdbUZcI1ZgYjFCwkqBDsIe7zQCbZJ1aOHgTBcCkHjLqSMEJ-VSSeMC2Y1vDdmeULpiA18&placement=listing_profile&cs_user=unknown&cs_session=9e084e19d8cf38f4a2ac131f1e6b96b494a6e801
